test_listlbr.vim	setup-blocked	0	1	0	E15
test_listlbr_utf8.vim	setup-blocked	0	1	0	E15
test_makeencoding.vim	setup-blocked	0	1	0	E15
test_map_functions.vim	partial	11	11	0	E605
test_mapping.vim	timeout	0	0	0	timeout
test_marks.vim	partial	14	14	0	not implemented: delmarks
test_match.vim	partial	16	16	0	not implemented: match
test_matchadd_conceal.vim	setup-blocked	0	1	0	E15
test_matchadd_conceal_utf8.vim	setup-blocked	0	1	0	E15
test_matchfuzzy.vim	partial	9	5	0	not implemented: bufadd
test_menu.vim	setup-blocked	0	1	0	E15
test_messages.vim	partial	29	26	0	E492
test_method.vim	partial	10	8	0	E897
test_mksession.vim	setup-blocked	0	0	0	E484
test_mksession_utf8.vim	setup-blocked	0	1	0	E15
test_modeline.vim	partial	17	15	0	E5060
test_move.vim	partial	2	2	0	not implemented: move
test_nested_function.vim	partial	3	3	0	E492
test_normal.vim	setup-blocked	0	0	0	E444
test_number.vim	partial	17	16	0	E605
test_options.vim	setup-blocked	0	0	0	E444
test_options_all.vim	partial	1	0	1	no diagnostic
test_packadd.vim	partial	13	13	0	E185
test_partial.vim	partial	19	13	0	E605
test_paste.vim	partial	1	1	0	no diagnostic
test_perl.vim	setup-blocked	0	1	0	E15
test_plugin_ccomplete.vim	partial	3	3	0	E474
test_plugin_matchit.vim	partial	5	5	0	E5113
test_plugin_matchparen.vim	partial	7	7	0	E492
test_plugin_netrw.vim	setup-blocked	0	0	0	E444
test_plugin_phpcomplete.vim	partial	2	1	0	E605
test_plugin_python3complete.vim	setup-blocked	0	1	0	E15
test_plugin_tar.vim	setup-blocked	0	1	0	E15
test_plugin_termdebug.vim	setup-blocked	0	1	0	E15
test_plugin_tutor.vim	partial	3	3	0	not implemented: runtime
test_plugin_zip.vim	setup-blocked	0	1	0	E15
test_plus_arg_edit.vim	partial	3	3	0	E492
test_popup.vim	partial	60	58	1	E121
test_preview.vim	setup-blocked	0	1	0	E15
test_profile.vim	setup-blocked	0	1	0	E15
test_prompt_buffer.vim	partial	10	10	0	E492
test_put.vim	partial	34	33	0	not implemented: setreg
test_python3.vim	setup-blocked	0	1	0	E15
test_pyx3.vim	setup-blocked	0	1	0	E15
test_quickfix.vim	setup-blocked	0	1	0	E15
test_quotestar.vim	setup-blocked	0	1	0	E15
test_random.vim	partial	3	3	0	not implemented: srand
test_recover.vim	partial	13	13	1	not implemented: preserve
test_regex_char_classes.vim	setup-blocked	0	0	0	E484
test_regexp_latin.vim	setup-blocked	0	0	0	E484
test_regexp_utf8.vim	setup-blocked	0	0	0	E484
test_registers.vim	partial	36	34	1	E35
test_reltime.vim	setup-blocked	0	1	0	E15
test_rename.vim	partial	7	3	0	E484
test_retab.vim	timeout	0	0	0	timeout
test_ruby.vim	setup-blocked	0	1	0	E15
test_scriptnames.vim	partial	2	2	0	E5060
test_scroll_opt.vim	partial	67	67	0	E605
test_scrollbind.vim	partial	2	2	0	E492
test_search.vim	partial	82	79	1	E492
test_search_stat.vim	partial	12	12	0	not implemented: searchcount
test_searchpos.vim	partial	1	1	0	E488
test_selectmode.vim	partial	10	10	0	not implemented: deletebufline
test_set.vim	partial	3	3	0	E474
test_sha256.vim	setup-blocked	0	1	0	E15
test_shell.vim	partial	10	9	1	E605
test_shift.vim	partial	20	20	0	E493
test_signals.vim	partial	5	4	1	E492
test_signs.vim	setup-blocked	0	1	0	E15
test_sleep.vim	partial	1	1	0	E605
test_smartindent.vim	partial	10	10	0	no diagnostic
test_sort.vim	partial	15	12	0	not implemented: sort
test_source.vim	partial	11	10	1	E5060
test_source_utf8.vim	partial	3	2	0	E5060
test_spell.vim	setup-blocked	0	0	0	E484
test_spell_utf8.vim	setup-blocked	0	1	0	E15
test_spellfile.vim	setup-blocked	0	1	0	E15
test_spellrare.vim	setup-blocked	0	1	0	E15
test_stacktrace.vim	partial	4	3	0	E5060
test_startup.vim	partial	57	43	12	E492
test_startup_utf8.vim	partial	4	4	0	E492
test_stat.vim	partial	9	8	0	E492
test_statusline.vim	partial	18	16	1	E492
test_substitute.vim	setup-blocked	0	0	0	E605
test_swap.vim	setup-blocked	0	0	0	E948
test_syn_attr.vim	partial	1	0	1	no diagnostic
test_syntax.vim	setup-blocked	0	1	0	E15
test_system.vim	timeout	0	0	0	timeout
test_tab.vim	partial	2	2	0	E518
test_tabline.vim	setup-blocked	0	0	0	E444
test_tabpage.vim	setup-blocked	0	0	0	E444
test_tagcase.vim	partial	2	2	0	not implemented: taglist
test_tagfunc.vim	partial	9	9	0	not implemented: taglist
test_tagjump.vim	partial	41	38	1	E492
test_taglist.vim	partial	16	14	0	not implemented: taglist
test_termcodes.vim	setup-blocked	0	0	0	E444
test_textformat.vim	partial	29	27	0	E492
test_textobjects.vim	partial	22	22	0	not implemented: assert_beeps
test_timers.vim	setup-blocked	0	1	0	E15
test_true_false.vim	partial	3	3	0	E171
test_trycatch.vim	partial	17	18	0	E126
test_undo.vim	partial	41	33	5	E492
test_uniq.vim	partial	5	5	0	not implemented: uniq
test_unlet.vim	partial	7	5	0	E795
test_user_func.vim	partial	32	28	3	E1068
test_usercommands.vim	partial	22	19	1	E464
test_utf8.vim	partial	13	11	0	not implemented: getreg
test_utf8_comparisons.vim	partial	3	3	0	E114
test_vartabs.vim	setup-blocked	0	1	0	E15
test_version.vim	partial	2	2	0	not implemented: version
